Conformation,Pocket_Center_X,Pocket_Center_Y,Pocket_Center_Z,Pocket_Center_Displacement_A,Pocket_Mean_Radius_A,Pocket_Max_Radius_A,Pocket_Radius_of_Gyration_A
0,0.902862051437641,10.167310336540485,-5.262275831452731,0.0,6.762389798490454,9.867623271989316,7.1057962436055995
1,0.9524922017078586,10.25369532029455,-5.269821415924742,0.0999122268746864,6.841346573680457,10.017819725700782,7.1780568565724305
2,1.0217404739688514,10.190914428031592,-5.211009375677541,0.13159590406383875,6.914509403466707,10.157398496552998,7.259996710263575
3,1.0437261111233413,10.11805146781648,-5.172315464037835,0.17424691436157036,6.9328372188231056,10.176597624448654,7.284152857096286
4,1.0483134195789376,10.071529027381693,-5.15239495644657,0.2059222337934072,6.941473603541644,10.169157512439583,7.29407488980462
5,1.0406073826042732,10.050482558003655,-5.148335879448959,0.2135528476950793,6.936558950603553,10.142457088354213,7.288333332390515
6,1.0319626376293194,10.04465330832322,-5.150508226123846,0.21024677292904978,6.928220930476405,10.118952951973723,7.279112436227239
7,1.0304805435747222,10.043846935834887,-5.150953675372223,0.20957650937914352,6.926778504152193,10.116463601627965,7.277520723747185
8,1.038227707755855,10.048659107398578,-5.148851103187627,0.2127607672230925,6.934277151379958,10.13590465136272,7.285807076877827
9,1.0468538246232988,10.086331589720787,-5.158733285921344,0.19496729704429408,6.937881061111912,10.171150288423831,7.2902407307606225
10,0.9631248093073229,10.246249921838512,-5.261621199874197,0.09931508775401657,6.852861203362277,10.040370904767292,7.190641662872013
11,0.8551077436746246,10.296622084039372,-5.335370358465897,0.15602824049004482,6.730500149066287,9.814109285661894,7.062494743322753
12,0.8173796518125834,10.30048713577965,-5.3559362690816315,0.18389012501514,6.684689483809026,9.787975741437391,7.017791654612674
13,0.7894811853104183,10.296477301842794,-5.368546100967854,0.20207101700140925,6.6496582580327335,9.77073743667102,6.985013723897727
14,0.7626505510458594,10.282030249536433,-5.376667220812101,0.21425525253650016,6.614986243657049,9.757049556816083,6.954182721896319
15,0.75956217319428,10.241272192834572,-5.362813805003888,0.19003445849845824,6.606519521709834,9.762905218305061,6.95004283146946
16,0.763906797637868,10.197210945625056,-5.343947159116122,0.1639292980052333,6.613316126461558,9.776763584645757,6.959117980779767
17,0.7747327974080481,10.155940315030133,-5.3228542046968395,0.142183411241355,6.63275273833343,9.796057859678502,6.978720276152435
18,0.7995829316798019,10.125938107934944,-5.298922443530784,0.11713757746574088,6.665379549931642,9.8199172351454,7.0102247176977945
19,0.8207543907384717,10.105764272736288,-5.280571110937097,0.10423196806494298,6.692409697166294,9.83917217868147,7.036403261546854
20,0.8434462976029246,10.08775478418157,-5.262268578915014,0.09929409734460051,6.72064571770879,9.859162164931714,7.063967544265492
